country,code,year,emission,flag
Africa,,1884,0.00016810493,True
Africa,,1885,0.00027865346,True
Africa,,1886,0.00036027696,True
Africa,,1887,0.00035830968,True
Africa,,1888,0.00060305005,True
Africa,,1889,0.0009820405,True
Africa,,1890,0.0022003131,True
Africa,,1891,0.0021923848,True
Africa,,1892,0.0035353242,True
Africa,,1893,0.013219625,True
Africa,,1894,0.017834708,True
Africa,,1895,0.024409406,True
Africa,,1896,0.031057494,True
Africa,,1897,0.034764815,True
Africa,,1898,0.043902785,True
Africa,,1899,0.039936516,True
Africa,,1900,0.016815761,True
Africa,,1901,0.028121473,True
Africa,,1902,0.04176499,True
Africa,,1903,0.056402333,True
Africa,,1904,0.06341765,True
Africa,,1905,0.07276437,True
Africa,,1906,0.08275714,True
Africa,,1907,0.0909625,True
Africa,,1908,0.09390756,True
Africa,,1909,0.10735923,True
Africa,,1910,0.12100435,True
Africa,,1911,0.116731,True
Africa,,1912,0.123760745,True
Africa,,1913,0.13460414,True
Africa,,1914,0.13367727,True
Africa,,1915,0.13349853,True
Africa,,1916,0.15768538,True
Africa,,1917,0.17112114,True
Africa,,1918,0.16625711,True
Africa,,1919,0.17010342,True
Africa,,1920,0.18615878,True
Africa,,1921,0.18404068,True
Africa,,1922,0.15595937,True
Africa,,1923,0.18666829,True
Africa,,1924,0.19445343,True
Africa,,1925,0.20180704,True
Africa,,1926,0.21327865,True
Africa,,1927,0.2069944,True
Africa,,1928,0.21005066,True
Africa,,1929,0.21359752,True
Africa,,1930,0.19853099,True
Africa,,1931,0.17142504,True
Africa,,1932,0.15295953,True
Africa,,1933,0.16163766,True
Africa,,1934,0.18227975,True
Africa,,1935,0.19862159,True
Africa,,1936,0.21307538,True
Africa,,1937,0.22562651,True
Africa,,1938,0.23430876,True
Africa,,1939,0.24609981,True
Africa,,1940,0.25714242,True
Africa,,1941,0.27570948,True
Africa,,1942,0.2956288,True
Africa,,1943,0.29735428,True
Africa,,1944,0.3243292,True
Africa,,1945,0.32344264,True
Africa,,1946,0.32124582,True
Africa,,1947,0.31506482,True
Africa,,1948,0.32733774,True
Africa,,1949,0.34674028,True
Africa,,1950,0.41701305,True
Africa,,1951,0.43538994,True
Africa,,1952,0.4650465,True
Africa,,1953,0.46213555,True
Africa,,1954,0.47455564,True
Africa,,1955,0.511079,True
Africa,,1956,0.52181756,True
Africa,,1957,0.5348022,True
Africa,,1958,0.5492976,True
Africa,,1959,0.5339706,True
Africa,,1960,0.5522528,True
Africa,,1961,0.5578654,True
Africa,,1962,0.55908394,True
Africa,,1963,0.57831824,True
Africa,,1964,0.61948013,True
Africa,,1965,0.6665221,True
Africa,,1966,0.6725036,True
Africa,,1967,0.7027146,True
Africa,,1968,0.7429979,True
Africa,,1969,0.7812512,True
Africa,,1970,0.8285632,True
Africa,,1971,0.88492876,True
Africa,,1972,0.9141623,True
Africa,,1973,0.95599747,True
Africa,,1974,0.95552486,True
Africa,,1975,0.9262899,True
Africa,,1976,0.97684073,True
Africa,,1977,0.9794306,True
Africa,,1978,1.0164287,True
Africa,,1979,1.0650721,True
Africa,,1980,1.1113187,True
Africa,,1981,1.1046573,True
Africa,,1982,1.1166936,True
Africa,,1983,1.1277032,True
Africa,,1984,1.1966531,True
Africa,,1985,1.191995,True
Africa,,1986,1.2000366,True
Africa,,1987,1.1665251,True
Africa,,1988,1.1920505,True
Africa,,1989,1.1169115,True
Africa,,1990,1.0240961,True
Africa,,1991,1.041674,True
Africa,,1992,0.9838701,True
Africa,,1993,1.0155436,True
Africa,,1994,1.1075671,True
Africa,,1995,1.154304,True
Africa,,1996,1.1624247,True
Africa,,1997,1.1620444,True
Africa,,1998,1.1567284,True
Africa,,1999,1.1124499,True
Africa,,2000,1.1223302,True
Africa,,2001,1.0824622,True
Africa,,2002,1.0319118,True
Africa,,2003,1.1064153,True
Africa,,2004,1.1397791,True
Africa,,2005,1.1255214,True
Africa,,2006,1.1300635,True
Africa,,2007,1.1274081,True
Africa,,2008,1.1555071,True
Africa,,2009,1.119719,True
Africa,,2010,1.1362721,True
Africa,,2011,1.1445001,True
Africa,,2012,1.125614,True
Africa,,2013,1.1082679,True
Africa,,2014,1.1428827,True
Africa,,2015,1.0937093,True
Africa,,2016,1.1004659,True
Africa,,2017,1.0873753,True
Africa,,2018,1.0554873,True
Africa,,2019,1.0988438,True
Africa,,2020,0.98307353,True
Africa,,2021,1.0208932,True
Africa,,2022,0.99125665,True
Africa,,2023,0.95925564,True
Asia,,1750,0.0,True
Asia,,1760,0.0,True
Asia,,1770,0.0,True
Asia,,1780,0.0,True
Asia,,1790,0.0,True
Asia,,1800,0.0,True
Asia,,1801,0.0,True
Asia,,1802,0.0,True
Asia,,1803,0.0,True
Asia,,1804,0.0,True
Asia,,1805,0.0,True
Asia,,1806,0.0,True
Asia,,1807,0.0,True
Asia,,1808,0.0,True
Asia,,1809,0.0,True
Asia,,1810,0.0,True
Asia,,1811,0.0,True
Asia,,1812,0.0,True
Asia,,1813,0.0,True
Asia,,1814,0.0,True
Asia,,1815,0.0,True
Asia,,1816,0.0,True
Asia,,1817,0.0,True
Asia,,1818,0.0,True
Asia,,1819,0.0,True
Asia,,1820,0.0,True
Asia,,1821,0.0,True
Asia,,1822,0.0,True
Asia,,1823,0.0,True
Asia,,1824,0.0,True
Asia,,1825,0.0,True
Asia,,1826,0.0,True
Asia,,1827,0.0,True
Asia,,1828,0.0,True
Asia,,1829,0.0,True
Asia,,1830,2.9968292e-06,True
Asia,,1831,3.5845335e-06,True
Asia,,1832,2.380552e-06,True
Asia,,1833,2.9704067e-06,True
Asia,,1834,0.0,True
Asia,,1835,0.0,True
Asia,,1836,0.0,True
Asia,,1837,0.0,True
Asia,,1838,0.0,True
Asia,,1839,0.0,True
Asia,,1840,0.0,True
Asia,,1841,0.0,True
Asia,,1842,0.0,True
Asia,,1843,0.0,True
Asia,,1844,0.0,True
Asia,,1845,0.0,True
Asia,,1846,0.0,True
Asia,,1847,0.0,True
Asia,,1848,0.0,True
Asia,,1849,0.0,True
Asia,,1850,1.7806415e-05,True
Asia,,1851,0.0,True
Asia,,1852,0.0,True
Asia,,1853,0.0,True
Asia,,1854,0.0,True
Asia,,1855,5.450387e-05,True
Asia,,1856,0.0,True
Asia,,1857,0.0,True
Asia,,1858,0.0005625302,True
Asia,,1859,0.0008664723,True
Asia,,1860,0.00090197864,True
Asia,,1861,0.0007519094,True
Asia,,1862,0.0008042576,True
Asia,,1863,0.00088381174,True
Asia,,1864,0.0008585896,True
Asia,,1865,0.0010253446,True
Asia,,1866,0.0014887603,True
Asia,,1867,0.0007859528,True
Asia,,1868,0.0006511147,True
Asia,,1869,0.0009224192,True
Asia,,1870,0.0008342256,True
Asia,,1871,0.0011069558,True
Asia,,1872,0.0011937274,True
Asia,,1873,0.0011379299,True
Asia,,1874,0.0019924596,True
Asia,,1875,0.0032851817,True
Asia,,1876,0.0034041656,True
Asia,,1877,0.0034928066,True
Asia,,1878,0.0065758345,True
Asia,,1879,0.0068087378,True
Asia,,1880,0.007400142,True
Asia,,1881,0.007555156,True
Asia,,1882,0.0081413165,True
Asia,,1883,0.008951269,True
Asia,,1884,0.0095831,True
Asia,,1885,0.009930874,True
Asia,,1886,0.010537968,True
Asia,,1887,0.012111857,True
Asia,,1888,0.013388593,True
Asia,,1889,0.015658999,True
Asia,,1890,0.017046528,True
Asia,,1891,0.01933686,True
Asia,,1892,0.02043845,True
Asia,,1893,0.022722257,True
Asia,,1894,0.02519956,True
Asia,,1895,0.028997744,True
Asia,,1896,0.030751001,True
Asia,,1897,0.03328395,True
Asia,,1898,0.039641257,True
Asia,,1899,0.04176082,True
Asia,,1900,0.047264937,True
Asia,,1901,0.053760987,True
Asia,,1902,0.05556421,True
Asia,,1903,0.057961065,True
Asia,,1904,0.06469791,True
Asia,,1905,0.06536822,True
Asia,,1906,0.07239307,True
Asia,,1907,0.09938832,True
Asia,,1908,0.10758203,True
Asia,,1909,0.11004245,True
Asia,,1910,0.11080716,True
Asia,,1911,0.11695115,True
Asia,,1912,0.118089356,True
Asia,,1913,0.13445003,True
Asia,,1914,0.13882375,True
Asia,,1915,0.13180952,True
Asia,,1916,0.14352056,True
Asia,,1917,0.1539661,True
Asia,,1918,0.15737565,True
Asia,,1919,0.17177705,True
Asia,,1920,0.16290495,True
Asia,,1921,0.1583579,True
Asia,,1922,0.16588384,True
Asia,,1923,0.18099648,True
Asia,,1924,0.19238845,True
Asia,,1925,0.19293448,True
Asia,,1926,0.19452149,True
Asia,,1927,0.20892985,True
Asia,,1928,0.21756788,True
Asia,,1929,0.2244509,True
Asia,,1930,0.22211511,True
Asia,,1931,0.21212724,True
Asia,,1932,0.21005508,True
Asia,,1933,0.22809798,True
Asia,,1934,0.25584638,True
Asia,,1935,0.27569777,True
Asia,,1936,0.29443884,True
Asia,,1937,0.3082418,True
Asia,,1938,0.31218752,True
Asia,,1939,0.32800668,True
Asia,,1940,0.36616752,True
Asia,,1941,0.36858636,True
Asia,,1942,0.3424926,True
Asia,,1943,0.3351682,True
Asia,,1944,0.33386227,True
Asia,,1945,0.24739653,True
Asia,,1946,0.23673382,True
Asia,,1947,0.28367177,True
Asia,,1948,0.28458616,True
Asia,,1949,0.28098288,True
Asia,,1950,0.29293936,True
Asia,,1951,0.32632697,True
Asia,,1952,0.35442162,True
Asia,,1953,0.37120175,True
Asia,,1954,0.39782244,True
Asia,,1955,0.44308576,True
Asia,,1956,0.48091874,True
Asia,,1957,0.52905715,True
Asia,,1958,0.69742274,True
Asia,,1959,0.8252759,True
Asia,,1960,0.90949446,True
Asia,,1961,0.81105024,True
Asia,,1962,0.7657531,True
Asia,,1963,0.7909394,True
Asia,,1964,0.81594896,True
Asia,,1965,0.8710913,True
Asia,,1966,0.92623234,True
Asia,,1967,0.91883945,True
Asia,,1968,0.9907735,True
Asia,,1969,1.0978135,True
Asia,,1970,1.262453,True
Asia,,1971,1.350016,True
Asia,,1972,1.3982882,True
Asia,,1973,1.4642987,True
Asia,,1974,1.4581523,True
Asia,,1975,1.4979613,True
Asia,,1976,1.5612663,True
Asia,,1977,1.6297016,True
Asia,,1978,1.6711136,True
Asia,,1979,1.7069349,True
Asia,,1980,1.6718017,True
Asia,,1981,1.6293182,True
Asia,,1982,1.6513888,True
Asia,,1983,1.6839114,True
Asia,,1984,1.7473931,True
Asia,,1985,1.813316,True
Asia,,1986,1.8534385,True
Asia,,1987,1.8939905,True
Asia,,1988,2.005307,True
Asia,,1989,2.035061,True
Asia,,1990,2.051765,True
Asia,,1991,2.252347,True
Asia,,1992,2.1685,True
Asia,,1993,2.2310123,True
Asia,,1994,2.2995026,True
Asia,,1995,2.3705173,True
Asia,,1996,2.430898,True
Asia,,1997,2.428275,True
Asia,,1998,2.3271856,True
Asia,,1999,2.427641,True
Asia,,2000,2.4919279,True
Asia,,2001,2.5070364,True
Asia,,2002,2.609737,True
Asia,,2003,2.8354256,True
Asia,,2004,2.9661918,True
Asia,,2005,3.1437433,True
Asia,,2006,3.316449,True
Asia,,2007,3.4557917,True
Asia,,2008,3.589622,True
Asia,,2009,3.6750472,True
Asia,,2010,3.90551,True
Asia,,2011,4.147847,True
Asia,,2012,4.253931,True
Asia,,2013,4.260038,True
Asia,,2014,4.269868,True
Asia,,2015,4.24969,True
Asia,,2016,4.239441,True
Asia,,2017,4.3177757,True
Asia,,2018,4.4089265,True
Asia,,2019,4.491228,True
Asia,,2020,4.4027486,True
Asia,,2021,4.5877466,True
Asia,,2022,4.5963426,True
Asia,,2023,4.731386,True
Europe,,1750,0.060671125,True
Europe,,1760,0.06525124,True
Europe,,1770,0.07750265,True
Europe,,1780,0.08952162,True
Europe,,1790,0.10948523,True
Europe,,1800,0.16674893,True
Europe,,1801,0.16206962,True
Europe,,1802,0.20353201,True
